Image,lip_width,eye1_width,eye2_width,nose_length,nose_width,eyebrow1_length,eyebrow2_length,jawline_width,age_class
/Users/jishavarun/Downloads/wiki/wiki/00/10049200_1891-09-16_1958.jpg,180.14,95.52,93.9,135.24,82.22,164.16,188.49,123.15,6
/Users/jishavarun/Downloads/wiki/wiki/00/10110600_1985-09-17_2012.jpg,177.14,90.27,81.39,116.84,89.05,181.86,154.64,127.02,2
/Users/jishavarun/Downloads/wiki/wiki/00/10126400_1964-07-07_2010.jpg,124.72,82.04,85.16,101.71,73.01,136.13,160.53,104.58,4
/Users/jishavarun/Downloads/wiki/wiki/00/1013900_1917-10-15_1960.jpg,185.56,80.23,73.06,114.16,90.67,180.1,141.86,136.82,4
/Users/jishavarun/Downloads/wiki/wiki/00/10166400_1960-03-12_2008.jpg,195.73,86.02,85.51,146.99,102.4,196.48,175.5,81.49,4
/Users/jishavarun/Downloads/wiki/wiki/00/1024100_1982-06-07_2011.jpg,174.18,82,87.02,136,89.05,166.98,187.59,65.76,2
/Users/jishavarun/Downloads/wiki/wiki/00/10292500_1984-03-26_2009.jpg,130.55,79.23,63.13,81.79,70.11,197.87,124.72,139.3,2
/Users/jishavarun/Downloads/wiki/wiki/00/1035700_1945-11-27_2013.jpg,215.28,79.23,80.06,112.11,126.1,185.16,187.62,95.19,6
/Users/jishavarun/Downloads/wiki/wiki/00/10525500_1916-02-14_1951.jpg,168.15,70.06,81.3,103.48,85.21,122.19,184.13,75.66,3
/Users/jishavarun/Downloads/wiki/wiki/00/10623500_1931-09-25_1956.jpg,158.71,83.86,88,111.8,62.51,148.28,180.74,111.99,2
/Users/jishavarun/Downloads/wiki/wiki/00/10870400_1971-06-28_2013.jpg,124.04,76.03,59.68,116.9,83.22,178.68,110.35,114.48,4
/Users/jishavarun/Downloads/wiki/wiki/00/10870400_1971-06-28_2013.jpg,124.04,76.03,59.68,116.9,83.22,178.68,110.35,114.48,4
/Users/jishavarun/Downloads/wiki/wiki/00/10967900_1956-03-18_2007.jpg,141.51,82.87,82.1,128.06,84.29,169.28,164.19,139.54,5
/Users/jishavarun/Downloads/wiki/wiki/00/10996600_1988-06-15_2008.jpg,228.63,102.84,100.24,140.51,129.31,192.15,186.82,88.19,1
/Users/jishavarun/Downloads/wiki/wiki/00/11035100_1984-08-03_2009.jpg,184.01,83.49,86.01,127.02,106.02,179.59,191.72,84.12,2
/Users/jishavarun/Downloads/wiki/wiki/00/1138200_1963-02-24_2014.jpg,140.69,64.54,43.66,126.53,83.2,157.85,81.89,150.6,5
/Users/jishavarun/Downloads/wiki/wiki/00/1157400_1938-10-01_1961.jpg,112.18,74.97,53.6,100.9,67.19,168.49,72.76,166.93,2
/Users/jishavarun/Downloads/wiki/wiki/00/1157400_1938-10-01_1961.jpg,112.18,74.97,53.6,100.9,67.19,168.49,72.76,166.93,2
/Users/jishavarun/Downloads/wiki/wiki/00/1167000_1981-08-18_2012.jpg,110.29,64.38,70.03,94.02,65.01,159.69,174.6,113.75,3
/Users/jishavarun/Downloads/wiki/wiki/00/11736200_1930-09-26_1953.jpg,169.14,68.12,86.83,114.14,88,114.96,204.65,95.43,2
/Users/jishavarun/Downloads/wiki/wiki/00/1199800_1976-04-13_2012.jpg,169.14,68.12,86.83,114.14,88,114.96,204.65,95.43,3
