Image,facial_index,mandibular_index,intercanthal_index,orbital_width_index,eye_fissure_index,nasal_index,vermilion_height_index,mouth_face_width_index,age_class
/Users/jishavarun/Documents/Python/CS256/wiki/00/10049200_1891-09-16_1958.jpg,0.91,0.34,0.41,0.74,0.11,0.34,0.63,0.39,6
/Users/jishavarun/Documents/Python/CS256/wiki/00/10110600_1985-09-17_2012.jpg,0.90,0.35,0.40,0.75,0.09,0.41,0.76,0.40,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/10126400_1964-07-07_2010.jpg,1.10,0.54,0.37,0.84,0.09,0.39,0.75,0.34,4
/Users/jishavarun/Documents/Python/CS256/wiki/00/1013900_1917-10-15_1960.jpg,0.90,0.41,0.41,0.71,0.09,0.48,0.53,0.44,4
/Users/jishavarun/Documents/Python/CS256/wiki/00/10166400_1960-03-12_2008.jpg,0.84,0.36,0.44,0.64,0.07,0.47,0.43,0.40,4
/Users/jishavarun/Documents/Python/CS256/wiki/00/1024100_1982-06-07_2011.jpg,0.84,0.34,0.39,0.79,0.04,0.47,0.39,0.41,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/10292500_1984-03-26_2009.jpg,0.95,0.48,0.40,0.76,0.10,0.41,0.69,0.32,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/1035700_1945-11-27_2013.jpg,0.90,0.47,0.46,0.59,0.06,0.69,0.62,0.50,6
/Users/jishavarun/Documents/Python/CS256/wiki/00/10525500_1916-02-14_1951.jpg,0.85,0.48,0.41,0.71,0.07,0.50,0.56,0.40,3
/Users/jishavarun/Documents/Python/CS256/wiki/00/10623500_1931-09-25_1956.jpg,0.90,0.44,0.39,0.77,0.09,0.31,0.78,0.36,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/10870400_1971-06-28_2013.jpg,0.91,0.46,0.41,0.73,0.07,0.45,0.60,0.31,4
/Users/jishavarun/Documents/Python/CS256/wiki/00/10870400_1971-06-28_2013.jpg,0.91,0.46,0.41,0.73,0.07,0.45,0.60,0.31,4
/Users/jishavarun/Documents/Python/CS256/wiki/00/10967900_1956-03-18_2007.jpg,0.87,0.41,0.44,0.64,0.07,0.39,0.52,0.29,5
/Users/jishavarun/Documents/Python/CS256/wiki/00/10996600_1988-06-15_2008.jpg,0.88,0.32,0.42,0.71,0.07,0.53,0.62,0.46,1
/Users/jishavarun/Documents/Python/CS256/wiki/00/11035100_1984-08-03_2009.jpg,0.87,0.48,0.42,0.68,0.06,0.54,0.56,0.39,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/1138200_1963-02-24_2014.jpg,0.92,0.49,0.45,0.62,0.08,0.43,0.39,0.37,5
/Users/jishavarun/Documents/Python/CS256/wiki/00/1157400_1938-10-01_1961.jpg,0.99,0.52,0.44,0.63,0.09,0.34,0.68,0.27,2
/Users/jishavarun/Documents/Python/CS256/wiki/00/1157400_1938-10-01_1961.jpg,0.99,0.52,0.44,0.63,0.09,0.34,0.68,0.27,2
