Image,Left_Eye_Right_Eye/Eye_Nose,Left_Eye_Right_Eye/Eye_Mouth,Left_Eye_Right_Eye/Eye_Chin,Eye_Nose/Eye_Mouth,Eye_Mouth/Eye_Chin,Virtual_Top_Head/Eye_Chin,Age_Class
10049200_1891-09-16_1958.jpg,1.34,0.90,0.61,1.00,0.00,1.00,6
10110600_1985-09-17_2012.jpg,1.32,0.87,0.58,1.00,0.00,1.00,2
10126400_1964-07-07_2010.jpg,1.26,0.77,0.49,1.00,0.00,1.00,4
1013900_1917-10-15_1960.jpg,1.67,0.98,0.61,1.00,0.00,1.00,4
10166400_1960-03-12_2008.jpg,1.28,0.92,0.56,1.00,0.00,1.00,4
1024100_1982-06-07_2011.jpg,1.38,0.96,0.61,1.00,0.00,1.00,2
10292500_1984-03-26_2009.jpg,1.58,0.76,0.52,1.00,0.00,1.00,2
1035700_1945-11-27_2013.jpg,1.82,1.14,0.64,1.00,0.00,1.00,6
10525500_1916-02-14_1951.jpg,1.41,0.95,0.55,1.00,0.00,1.00,3
10623500_1931-09-25_1956.jpg,1.59,0.98,0.61,1.00,0.00,1.00,2
10870400_1971-06-28_2013.jpg,1.23,0.81,0.50,1.00,0.00,1.00,4
10870400_1971-06-28_2013.jpg,1.23,0.81,0.50,1.00,0.00,1.00,4
10967900_1956-03-18_2007.jpg,1.60,0.94,0.61,1.00,0.00,1.00,5
10996600_1988-06-15_2008.jpg,1.59,1.00,0.67,1.00,0.00,1.00,1
11035100_1984-08-03_2009.jpg,1.49,1.01,0.57,1.00,0.00,1.00,2
1138200_1963-02-24_2014.jpg,0.99,0.75,0.43,1.00,0.00,1.00,5
1157400_1938-10-01_1961.jpg,1.50,0.79,0.51,1.00,0.00,1.00,2
1157400_1938-10-01_1961.jpg,1.50,0.79,0.51,1.00,0.00,1.00,2
1167000_1981-08-18_2012.jpg,1.44,0.76,0.46,1.00,0.00,1.00,3
11736200_1930-09-26_1953.jpg,1.18,0.78,0.50,1.00,0.00,1.00,2
1199800_1976-04-13_2012.jpg,1.18,0.78,0.50,1.00,0.00,1.00,3
12087800_1945-03-20_1971.jpg,1.23,0.75,0.47,1.00,0.00,1.00,2
12087800_1945-03-20_1971.jpg,1.21,0.93,0.55,1.00,0.00,1.00,2
12087800_1945-03-20_1971.jpg,1.47,1.00,0.55,1.00,0.00,1.00,2
12170800_1982-12-15_2013.jpg,1.40,0.79,0.48,1.00,0.00,1.00,3
12318000_1988-06-12_2008.jpg,1.40,0.79,0.48,1.00,0.00,1.00,1
12318000_1988-06-12_2008.jpg,1.11,0.70,0.42,1.00,0.00,1.00,1
12318000_1988-06-12_2008.jpg,1.14,0.76,0.47,1.00,0.00,1.00,1
12596800_1920-10-18_1955.jpg,2.24,1.03,0.65,1.00,0.00,1.00,3
