Image,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,age_class
10049200_1891-09-16_1958.jpg,0.49,0.50,0.50,0.40,0.49,0.50,0.49,0.49,0.51,0.39,0.49,0.50,0.49,0.51,0.50,0.48,0.50,0.50,0.50,0.50,0.51,0.46,0.50,0.51,6
10110600_1985-09-17_2012.jpg,0.50,0.50,0.51,0.41,0.49,0.49,0.50,0.50,0.49,0.40,0.49,0.49,0.50,0.50,0.51,0.46,0.50,0.50,0.50,0.50,0.49,0.46,0.50,0.50,2
10126400_1964-07-07_2010.jpg,0.45,0.49,0.48,0.20,0.45,0.44,0.47,0.47,0.49,0.19,0.44,0.44,0.46,0.50,0.49,0.27,0.46,0.46,0.48,0.48,0.50,0.26,0.46,0.45,4
1013900_1917-10-15_1960.jpg,0.48,0.47,0.49,0.27,0.42,0.45,0.48,0.48,0.49,0.29,0.41,0.45,0.49,0.48,0.49,0.33,0.44,0.47,0.49,0.48,0.49,0.34,0.44,0.46,4
10166400_1960-03-12_2008.jpg,0.49,0.50,0.50,0.36,0.48,0.48,0.50,0.49,0.49,0.36,0.48,0.47,0.50,0.50,0.50,0.44,0.49,0.49,0.50,0.49,0.49,0.44,0.49,0.48,4
102100_1970-10-09_2008.jpg,0.49,0.49,0.49,0.40,0.48,0.47,0.50,0.49,0.49,0.41,0.47,0.48,0.49,0.49,0.50,0.45,0.49,0.48,0.50,0.49,0.50,0.46,0.48,0.49,3
1024100_1982-06-07_2011.jpg,0.50,0.50,0.51,0.44,0.50,0.49,0.50,0.51,0.51,0.44,0.49,0.49,0.50,0.50,0.51,0.47,0.50,0.49,0.50,0.51,0.51,0.46,0.49,0.49,2
10292500_1984-03-26_2009.jpg,0.49,0.49,0.49,0.41,0.49,0.49,0.49,0.49,0.49,0.38,0.49,0.49,0.50,0.50,0.49,0.48,0.50,0.50,0.50,0.49,0.49,0.46,0.50,0.50,2
1035700_1945-11-27_2013.jpg,0.50,0.50,0.51,0.45,0.49,0.49,0.49,0.50,0.50,0.43,0.49,0.49,0.50,0.50,0.51,0.50,0.50,0.49,0.50,0.50,0.50,0.49,0.50,0.50,6
10416800_1907-01-08_1967.jpg,0.50,0.49,0.50,0.42,0.49,0.49,0.50,0.49,0.50,0.41,0.49,0.49,0.50,0.49,0.50,0.47,0.50,0.49,0.50,0.49,0.50,0.46,0.50,0.49,5
10525500_1916-02-14_1951.jpg,0.49,0.49,0.49,0.34,0.49,0.48,0.49,0.49,0.49,0.30,0.49,0.49,0.50,0.49,0.49,0.39,0.49,0.48,0.50,0.50,0.50,0.36,0.49,0.50,3
1054800_1947-09-19_2011.jpg,0.49,0.50,0.50,0.36,0.46,0.47,0.49,0.49,0.50,0.37,0.47,0.46,0.49,0.51,0.50,0.42,0.48,0.48,0.50,0.49,0.50,0.43,0.48,0.48,6
10623500_1931-09-25_1956.jpg,0.49,0.50,0.49,0.39,0.49,0.48,0.50,0.50,0.50,0.42,0.48,0.48,0.50,0.51,0.49,0.49,0.50,0.51,0.51,0.50,0.50,0.50,0.50,0.51,2
10726900_1991-02-03_2010.jpg,0.48,0.49,0.49,0.27,0.46,0.44,0.50,0.49,0.50,0.28,0.45,0.44,0.49,0.50,0.50,0.37,0.48,0.46,0.50,0.50,0.50,0.39,0.47,0.47,1
10870400_1971-06-28_2013.jpg,0.49,0.51,0.49,0.29,0.48,0.48,0.49,0.49,0.49,0.32,0.47,0.47,0.49,0.51,0.49,0.35,0.48,0.49,0.50,0.49,0.50,0.37,0.48,0.48,4
10898800_1951-06-03_1950.jpg,0.49,0.50,0.47,0.48,0.46,0.49,0.47,0.47,0.48,0.48,0.46,0.50,0.49,0.50,0.47,0.57,0.56,0.52,0.48,0.48,0.49,0.57,0.56,0.53,0
10967900_1956-03-18_2007.jpg,0.47,0.48,0.48,0.30,0.42,0.41,0.47,0.48,0.48,0.27,0.43,0.42,0.48,0.49,0.49,0.36,0.45,0.44,0.48,0.49,0.49,0.33,0.45,0.45,5
10996600_1988-06-15_2008.jpg,0.50,0.49,0.50,0.41,0.47,0.48,0.49,0.49,0.50,0.37,0.46,0.47,0.50,0.49,0.50,0.46,0.49,0.49,0.49,0.49,0.50,0.43,0.48,0.49,1
11035100_1984-08-03_2009.jpg,0.50,0.48,0.49,0.36,0.46,0.46,0.50,0.49,0.49,0.35,0.45,0.47,0.50,0.48,0.49,0.42,0.48,0.48,0.51,0.49,0.50,0.41,0.47,0.48,2
11036200_1966-03-30_1999.jpg,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,3
1121500_1976-07-31_2007.jpg,0.47,0.49,0.48,0.22,0.38,0.41,0.48,0.48,0.49,0.22,0.38,0.42,0.48,0.50,0.49,0.35,0.43,0.45,0.49,0.48,0.50,0.35,0.43,0.46,3
11328300_1980-06-10_2008.jpg,0.50,0.50,0.50,0.44,0.50,0.50,0.49,0.50,0.50,0.42,0.49,0.49,0.50,0.50,0.50,0.46,0.50,0.50,0.49,0.50,0.50,0.45,0.50,0.49,2
1138200_1963-02-24_2014.jpg,0.50,0.50,0.50,0.34,0.49,0.49,0.49,0.50,0.51,0.32,0.49,0.49,0.50,0.50,0.50,0.41,0.50,0.49,0.49,0.50,0.51,0.41,0.49,0.49,5
1142200_1980-03-17_2010.jpg,0.49,0.49,0.49,0.28,0.48,0.49,0.50,0.51,0.50,0.28,0.48,0.48,0.50,0.49,0.50,0.41,0.49,0.50,0.50,0.52,0.51,0.40,0.49,0.49,2
11435300_1959-12-26_1950.jpg,0.49,0.50,0.47,0.48,0.46,0.49,0.47,0.47,0.48,0.48,0.46,0.50,0.49,0.50,0.47,0.57,0.56,0.52,0.48,0.48,0.49,0.57,0.56,0.53,0
11436800_1951-04-17_1950.jpg,0.49,0.50,0.47,0.48,0.46,0.49,0.47,0.47,0.48,0.48,0.46,0.50,0.49,0.50,0.47,0.57,0.56,0.52,0.48,0.48,0.49,0.57,0.56,0.53,0
11531100_1958-05-03_2007.jpg,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,4
1157400_1938-10-01_1961.jpg,0.50,0.49,0.50,0.47,0.49,0.49,0.50,0.50,0.50,0.47,0.50,0.50,0.50,0.49,0.50,0.51,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,2
11581000_1982-03-16_2007.jpg,0.49,0.50,0.50,0.30,0.49,0.49,0.50,0.50,0.51,0.32,0.48,0.48,0.49,0.50,0.50,0.40,0.49,0.50,0.50,0.50,0.51,0.41,0.49,0.49,2
1160300_1947-03-06_1983.jpg,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,3
1167000_1981-08-18_2012.jpg,0.50,0.50,0.49,0.37,0.48,0.48,0.49,0.51,0.50,0.35,0.48,0.49,0.50,0.50,0.50,0.42,0.49,0.49,0.50,0.51,0.50,0.41,0.49,0.49,3
11736200_1930-09-26_1953.jpg,0.48,0.48,0.50,0.36,0.48,0.48,0.50,0.50,0.51,0.34,0.49,0.48,0.48,0.48,0.50,0.42,0.49,0.49,0.50,0.50,0.51,0.41,0.49,0.49,2
1199800_1976-04-13_2012.jpg,0.48,0.49,0.50,0.33,0.46,0.45,0.49,0.49,0.50,0.34,0.47,0.45,0.49,0.49,0.50,0.40,0.47,0.47,0.49,0.49,0.50,0.40,0.48,0.47,3
12073900_1962-08-22_1960.jpg,0.49,0.50,0.47,0.48,0.46,0.49,0.47,0.47,0.48,0.48,0.46,0.50,0.49,0.50,0.47,0.57,0.56,0.52,0.48,0.48,0.49,0.57,0.56,0.53,0
12087800_1945-03-20_1971.jpg,0.49,0.49,0.49,0.33,0.47,0.46,0.50,0.50,0.51,0.33,0.48,0.47,0.49,0.49,0.50,0.38,0.48,0.47,0.50,0.50,0.51,0.39,0.49,0.48,2
12170800_1982-12-15_2013.jpg,0.48,0.48,0.49,0.32,0.47,0.46,0.50,0.48,0.49,0.33,0.47,0.45,0.49,0.49,0.49,0.41,0.49,0.48,0.50,0.49,0.49,0.42,0.49,0.48,3
12318000_1988-06-12_2008.jpg,0.49,0.50,0.50,0.42,0.50,0.50,0.50,0.49,0.49,0.44,0.50,0.49,0.49,0.50,0.50,0.47,0.50,0.51,0.50,0.50,0.49,0.47,0.50,0.49,1
1235700_1943-03-19_1983.jpg,0.50,0.51,0.50,0.44,0.49,0.49,0.50,0.50,0.50,0.46,0.49,0.50,0.50,0.51,0.50,0.48,0.50,0.49,0.50,0.50,0.50,0.49,0.50,0.50,3
12596800_1920-10-18_1955.jpg,0.50,0.49,0.49,0.41,0.49,0.49,0.49,0.47,0.50,0.40,0.48,0.48,0.50,0.49,0.50,0.45,0.49,0.50,0.49,0.48,0.50,0.45,0.49,0.49,3
12609600_1925-10-13_1959.jpg,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,3
12611800_1950-08-17_2011.jpg,0.49,0.50,0.49,0.34,0.48,0.47,0.49,0.49,0.50,0.35,0.48,0.48,0.49,0.50,0.49,0.40,0.49,0.49,0.49,0.49,0.50,0.41,0.49,0.49,6
12637400_1932-07-03_1964.jpg,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,3
12645800_1988-05-02_2009.jpg,0.50,0.48,0.50,0.39,0.45,0.44,0.49,0.50,0.49,0.38,0.46,0.44,0.50,0.49,0.50,0.45,0.47,0.47,0.50,0.50,0.50,0.45,0.48,0.47,2
12676100_1969-01-27_2014.jpg,0.49,0.49,0.49,0.39,0.48,0.48,0.49,0.49,0.49,0.42,0.48,0.48,0.49,0.50,0.50,0.45,0.50,0.49,0.50,0.49,0.49,0.47,0.50,0.50,4
12686100_1890-02-27_1941.jpg,0.50,0.49,0.50,0.44,0.49,0.49,0.49,0.51,0.50,0.42,0.49,0.49,0.50,0.50,0.50,0.47,0.50,0.50,0.49,0.51,0.50,0.46,0.50,0.49,5
1285200_1975-01-05_2009.jpg,0.49,0.49,0.49,0.33,0.48,0.47,0.49,0.48,0.49,0.33,0.49,0.48,0.49,0.50,0.49,0.38,0.49,0.48,0.49,0.48,0.49,0.38,0.49,0.49,3
12889900_1980-12-02_2013.jpg,0.48,0.48,0.49,0.33,0.45,0.45,0.49,0.50,0.49,0.34,0.45,0.45,0.49,0.49,0.50,0.42,0.48,0.48,0.50,0.51,0.50,0.43,0.48,0.48,3
12899300_1977-03-24_2012.jpg,0.49,0.49,0.50,0.33,0.46,0.45,0.48,0.50,0.49,0.31,0.47,0.45,0.49,0.49,0.50,0.39,0.47,0.47,0.48,0.51,0.50,0.38,0.48,0.47,3
12957200_1989-06-21_2008.jpg,0.49,0.49,0.49,0.38,0.49,0.48,0.50,0.52,0.50,0.36,0.48,0.48,0.50,0.49,0.50,0.44,0.50,0.49,0.50,0.52,0.50,0.43,0.49,0.49,1
13016000_1987-01-20_2009.jpg,0.45,0.48,0.47,0.26,0.46,0.44,0.46,0.47,0.48,0.24,0.45,0.44,0.46,0.48,0.48,0.31,0.47,0.45,0.47,0.47,0.48,0.30,0.46,0.45,2
13118700_1986-11-17_2012.jpg,0.48,0.49,0.49,0.38,0.47,0.46,0.50,0.48,0.49,0.38,0.48,0.47,0.49,0.50,0.50,0.45,0.49,0.49,0.50,0.48,0.49,0.44,0.49,0.49,2
1315300_1965-09-09_2015.jpg,0.49,0.49,0.49,0.31,0.46,0.47,0.50,0.50,0.50,0.33,0.47,0.47,0.50,0.49,0.49,0.35,0.47,0.48,0.50,0.51,0.50,0.37,0.48,0.48,4
13235200_1935-04-20_1964.jpg,0.49,0.50,0.50,0.30,0.47,0.46,0.49,0.49,0.49,0.34,0.47,0.45,0.49,0.50,0.50,0.37,0.49,0.48,0.49,0.50,0.50,0.40,0.48,0.47,2
13304100_1949-03-08_2008.jpg,0.50,0.50,0.50,0.26,0.47,0.45,0.48,0.48,0.49,0.25,0.47,0.46,0.50,0.50,0.50,0.32,0.48,0.47,0.48,0.49,0.49,0.32,0.48,0.47,5
1333800_1979-04-09_2001.jpg,0.49,0.51,0.50,0.38,0.48,0.48,0.49,0.49,0.49,0.39,0.48,0.48,0.50,0.51,0.50,0.43,0.49,0.49,0.50,0.49,0.49,0.43,0.49,0.49,2
1335100_1954-09-18_2007.jpg,0.50,0.49,0.50,0.33,0.47,0.46,0.49,0.49,0.50,0.35,0.47,0.47,0.50,0.50,0.50,0.39,0.48,0.47,0.49,0.49,0.51,0.40,0.48,0.48,5
13510500_1954-07-08_1998.jpg,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,4
13582700_1975-05-16_1970.jpg,0.49,0.50,0.47,0.48,0.46,0.49,0.47,0.47,0.48,0.48,0.46,0.50,0.49,0.50,0.47,0.57,0.56,0.52,0.48,0.48,0.49,0.57,0.56,0.53,0
13612600_1944-01-28_1971.jpg,0.49,0.51,0.50,0.32,0.48,0.48,0.49,0.48,0.49,0.32,0.48,0.47,0.49,0.51,0.50,0.37,0.49,0.48,0.49,0.48,0.49,0.36,0.48,0.48,2
1363900_1978-02-02_2010.jpg,0.50,0.50,0.50,0.41,0.48,0.48,0.49,0.49,0.49,0.39,0.48,0.47,0.50,0.50,0.50,0.45,0.49,0.49,0.50,0.49,0.49,0.43,0.49,0.48,3
13700400_1956-04-25_1950.jpg,0.49,0.50,0.47,0.48,0.46,0.49,0.47,0.47,0.48,0.48,0.46,0.50,0.49,0.50,0.47,0.57,0.56,0.52,0.48,0.48,0.49,0.57,0.56,0.53,0
1372000_1971-12-02_2009.jpg,0.50,0.50,0.50,0.39,0.48,0.49,0.50,0.50,0.50,0.41,0.49,0.48,0.50,0.50,0.51,0.44,0.49,0.49,0.50,0.50,0.50,0.45,0.50,0.49,3
14007800_1983-05-06_2015.jpg,0.49,0.49,0.49,0.38,0.48,0.46,0.50,0.50,0.50,0.37,0.48,0.48,0.49,0.49,0.49,0.44,0.49,0.47,0.50,0.50,0.50,0.43,0.49,0.49,3
14045000_1908-06-24_2002.jpg,0.50,0.50,0.49,0.40,0.49,0.49,0.49,0.49,0.50,0.38,0.49,0.48,0.50,0.50,0.49,0.47,0.50,0.49,0.50,0.49,0.50,0.45,0.49,0.49,8
